Coin,total_pnl,trades,win_rate
@107,2783912.919016,17166,0.8169637655831294
HYPE,1948484.599761,32011,0.8816344381618818
SOL,1639555.927506,5030,0.8387673956262426
ETH,1319978.838852,5228,0.7681713848508034
BTC,868044.732638,11009,0.8305931510582251
MELANIA,390351.069856,2211,0.8891904115784712
ENA,217329.503554,332,0.9337349397590361
SUI,199268.834922,893,0.9395296752519597
ZRO,183777.783689,794,0.5730478589420654
DOGE,147543.156534,459,0.8758169934640523
PURR/USDC,75261.058019,1187,0.8331929233361416
AIXBT,73712.168895,494,0.9635627530364372
BERA,73689.746587,609,0.8932676518883416
USUAL,69631.943237,430,0.7511627906976744
AVAX,48297.313845000004,105,0.9619047619047619
